Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Military expenditure (current USD),MS.MIL.XPND.CD,"Korea, Rep.",KOR,10110714871.0587,13801107024.1211,30991707946.4761,31951760810.319,34311220715.1665,37552298953.8232,36570769322.5744,36885283430.0234,39170682135.6216,43069973342.8752,43890861986.1369,45735392596.4856
Military expenditure (current USD),MS.MIL.XPND.CD,Kosovo,XKX,..,..,50968863.7737974,43390403.8833654,48597681.233312,53575787.7448802,49984164.356216,51937624.4193762,57262629.2715651,63344074.218335,65705329.153605,78965006.2692351
Military expenditure (current USD),MS.MIL.XPND.CD,Kuwait,KWT,8961536461.49313,2697075596.3558,5393526319.03152,5941536636.94559,5697937802.28007,5832103419.52984,5735132890.36545,6446742131.36237,6764636913.87805,7165279059.53645,7373519736.84211,6941042345.27687
Military expenditure (current USD),MS.MIL.XPND.CD,Kyrgyz Republic,KGZ,..,25794155.8114867,86423386.4064372,107529842.877185,119000613.911601,127971088.839247,117003278.063733,115645311.811562,121515805.359074,127148346.679175,128943451.77071,127499245.789448
Military expenditure (current USD),MS.MIL.XPND.CD,Lao PDR,LAO,..,13717664.5992971,19009820.5990989,20327157.6570726,22677713.1196136,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Latvia,LVA,..,69990683.3593674,296834929.212511,255740342.589249,283568932.739998,295728965.265711,282688255.517356,404552452.166263,482461999.113821,709370536.926218,691894312.583968,756867662.145218
Military expenditure (current USD),MS.MIL.XPND.CD,Lebanon,LBN,214361038.658359,930016583.747927,1626533996.68325,1757213930.34826,1935718241.37232,2270065959.79379,2239416093.73945,2606456908.32225,2441074857.01822,2775557816.20658,2521246648.01434,1921393034.82587
Military expenditure (current USD),MS.MIL.XPND.CD,Lesotho,LSO,24165932.3160645,30555503.5209796,58169320.7531059,53240145.8227009,47941183.1723469,47693396.0282348,44025926.2497655,41489543.3648543,52594810.3725972,51064347.7548233,44845967.4627899,38049550.6436726
Military expenditure (current USD),MS.MIL.XPND.CD,Liberia,LBR,..,..,13271000,15179000,15111500,14531000,14799000,14712000,13335500,16788500,19228500,16937000
Military expenditure (current USD),MS.MIL.XPND.CD,Libya,LBY,..,1085534664.87046,..,2987413407.73267,3964690154.13652,3755652496.35093,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current USD),MS.MIL.XPND.CD,Lithuania,LTU,..,140400000,344605215.42864,328631681.612931,354862149.703384,426913695.365894,471221026.949096,635448102.412289,812106965.019963,1056383744.67382,1093819973.13032,1170637182.26376
Military expenditure (current USD),MS.MIL.XPND.CD,Luxembourg,LUX,96691368.6355411,128192371.475954,256962415.78642,237503049.757598,258655906.233246,279019013.052173,276145059.332372,260729679.579583,357671613.659217,393243517.433955,428769402.876169,489530773.582799
Military expenditure (current USD),MS.MIL.XPND.CD,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
